Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,station
2013-05-06,71,48,59.5,0.7,5,0,0.00,2.0
2013-05-07,72,49,60.5,1.5,4,0,0.00,2.0
2013-05-08,67,50,58.5,-0.6,6,0,0.00,2.0
2013-05-09,72,47,59.5,0.2,5,0,0.00,2.0
2013-05-10,76,49,62.5,3.0,2,0,0.00,2.0
2013-05-11,85,47,66.0,6.4,0,1,0.00,2.0
2013-05-12,83,47,65.0,5.2,0,0,0.00,2.0
2013-05-13,86,49,67.5,7.5,0,3,0.00,2.0
2013-05-14,89,47,68.0,7.9,0,3,0.00,2.0
2013-05-15,84,43,63.5,3.2,1,0,0.00,2.0
2013-05-16,75,51,63.0,2.6,2,0,0.00,2.0
2013-05-17,73,43,58.0,-2.6,7,0,0.00,2.0
2013-05-18,84,41,62.5,1.7,2,0,0.00,2.0
2013-05-19,87,52,69.5,8.6,0,5,0.00,2.0
2013-05-20,90,50,70.0,8.9,0,5,0.00,2.0
2013-05-21,76,46,61.0,-0.3,4,0,0.00,2.0
2013-05-22,72,43,57.5,-3.9,7,0,0.00,2.0
2013-05-23,73,45,59.0,-2.6,6,0,0.00,2.0
2013-05-24,77,39,58.0,-3.8,7,0,0.00,2.0
2013-05-25,76,42,59.0,-2.9,6,0,0.00,2.0
2013-05-26,75,48,61.5,-0.6,3,0,0.00,2.0
2013-05-27,64,47,55.5,-6.8,9,0,0.16,2.0
2013-05-28,75,55,65.0,2.6,0,0,0.01,2.0
2013-05-29,80,56,68.0,5.4,0,3,0.001,2.0
2013-05-30,85,42,63.5,0.7,1,0,0.00,2.0
2013-05-31,93,47,70.0,7.0,0,5,0.00,2.0
2013-06-01,97,50,73.5,10.3,0,9,0.00,2.0
2013-06-02,87,50,68.5,5.2,0,4,0.00,2.0
2013-06-03,67,49,58.0,-5.5,7,0,0.00,2.0
2013-06-04,67,54,60.5,-3.2,4,0,0.00,2.0
2013-06-05,73,52,62.5,-1.4,2,0,0.00,2.0
2013-06-06,76,51,63.5,-0.6,1,0,0.00,2.0
2013-06-07,92,50,71.0,6.7,0,6,0.00,2.0
2013-06-08,90,55,72.5,8.1,0,8,0.00,2.0
2013-06-09,66,56,61.0,-3.6,4,0,0.00,2.0
2013-06-10,63,56,59.5,-5.3,5,0,0.09,2.0
2013-06-11,80,51,65.5,0.5,0,1,0.00,2.0
2013-06-12,86,42,64.0,-1.2,1,0,0.00,2.0
2013-06-13,85,45,65.0,-0.3,0,0,0.00,2.0
2013-06-14,89,50,69.5,4.0,0,5,0.00,2.0
2013-06-15,81,45,63.0,-2.7,2,0,0.00,2.0
2013-06-16,89,45,67.0,1.2,0,2,0.00,2.0
2013-06-17,83,49,66.0,0.0,0,1,0.00,2.0
2013-06-18,76,49,62.5,-3.7,2,0,0.00,2.0
2013-06-19,80,47,63.5,-2.8,1,0,0.00,2.0
2013-06-20,84,46,65.0,-1.4,0,0,0.00,2.0
2013-06-21,89,46,67.5,0.9,0,3,0.00,2.0
2013-06-22,92,50,71.0,4.3,0,6,0.00,2.0
2013-06-23,71,56,63.5,-3.3,1,0,0.001,2.0
2013-06-24,64,57,60.5,-6.5,4,0,0.24,2.0
2013-06-25,64,59,61.5,-5.6,3,0,1.14,2.0
2013-06-26,80,60,70.0,2.8,0,5,0.01,2.0
2013-06-27,91,57,74.0,6.7,0,9,0.00,2.0
2013-06-28,98,59,78.5,11.1,0,14,0.00,2.0
2013-06-29,102,59,80.5,13.1,0,16,0.00,2.0
2013-06-30,94,58,76.0,8.5,0,11,0.001,2.0
2013-07-01,97,55,76.0,8.4,0,11,0.00,2.0
2013-07-02,92,58,75.0,7.4,0,10,0.00,2.0
2013-07-03,88,57,72.5,4.8,0,8,0.00,2.0
2013-07-04,98,62,80.0,12.3,0,15,0.00,2.0
2013-07-05,84,52,68.0,0.3,0,3,0.00,2.0
2013-07-06,77,52,64.5,-3.3,0,0,0.00,2.0
2013-07-07,79,52,65.5,-2.3,0,1,0.00,2.0
2013-07-08,80,52,66.0,-1.8,0,1,0.00,2.0
2013-07-09,93,51,72.0,4.2,0,7,0.00,2.0
2013-07-10,78,50,64.0,-3.8,1,0,0.00,2.0
2013-07-11,76,50,63.0,-4.8,2,0,0.00,2.0
2013-07-12,78,52,65.0,-2.7,0,0,0.00,2.0
2013-07-13,83,45,64.0,-3.7,1,0,0.00,2.0
2013-07-14,77,52,64.5,-3.2,0,0,0.00,2.0
2013-07-15,69,50,59.5,-8.2,5,0,0.00,2.0
2013-07-16,69,52,60.5,-7.1,4,0,0.00,2.0
2013-07-17,80,49,64.5,-3.1,0,0,0.00,2.0
2013-07-18,82,53,67.5,0.0,0,3,0.00,2.0
2013-07-19,85,52,68.5,1.0,0,4,0.00,2.0
2013-07-20,84,50,67.0,-0.4,0,2,0.00,2.0
2013-07-21,81,52,66.5,-0.9,0,2,0.00,2.0
2013-07-22,85,49,67.0,-0.4,0,2,0.00,2.0
2013-07-23,77,57,67.0,-0.3,0,2,0.00,2.0
2013-07-24,85,53,69.0,1.7,0,4,0.00,2.0
2013-07-25,79,53,66.0,-1.2,0,1,0.00,2.0
2013-07-26,77,52,64.5,-2.7,0,0,0.00,2.0
2013-07-27,77,53,65.0,-2.1,0,0,0.00,2.0
2013-07-28,71,52,61.5,-5.6,3,0,0.00,2.0
2013-07-29,71,53,62.0,-5.1,3,0,0.00,2.0
2013-07-30,72,53,62.5,-4.5,2,0,0.00,2.0
2013-07-31,79,52,65.5,-1.5,0,1,0.00,2.0
2013-08-01,82,44,63.0,-4.0,2,0,0.00,2.0
2013-08-02,85,46,65.5,-1.5,0,1,0.00,2.0
2013-08-03,78,49,63.5,-3.5,1,0,0.00,2.0
2013-08-04,75,51,63.0,-4.0,2,0,0.00,2.0
2013-08-05,72,51,61.5,-5.5,3,0,0.00,2.0
2013-08-06,75,52,63.5,-3.5,1,0,0.00,2.0
2013-08-07,70,54,62.0,-5.0,3,0,0.00,2.0
2013-08-08,74,50,62.0,-5.0,3,0,0.00,2.0
2013-08-09,74,53,63.5,-3.5,1,0,0.00,2.0
2013-08-10,78,55,66.5,-0.5,0,2,0.00,2.0
2013-08-11,80,54,67.0,0.0,0,2,0.00,2.0
2013-08-12,80,53,66.5,-0.5,0,2,0.00,2.0
2013-08-13,91,52,71.5,4.4,0,7,0.00,2.0
2013-08-14,94,48,71.0,3.9,0,6,0.00,2.0
2013-08-15,90,53,71.5,4.4,0,7,0.00,2.0
2013-08-16,91,56,73.5,6.3,0,9,0.00,2.0
2013-08-17,89,52,70.5,3.3,0,6,0.00,2.0
2013-08-18,95,53,74.0,6.8,0,9,0.00,2.0
2013-08-19,86,58,72.0,4.7,0,7,0.00,2.0
2013-08-20,81,58,69.5,2.2,0,5,0.00,2.0
2013-08-21,77,52,64.5,-2.8,0,0,0.00,2.0
2013-08-22,76,53,64.5,-2.9,0,0,0.00,2.0
2013-08-23,81,52,66.5,-0.9,0,2,0.00,2.0
2013-08-24,87,50,68.5,1.1,0,4,0.00,2.0
2013-08-25,79,56,67.5,0.0,0,3,0.00,2.0
2013-08-26,84,56,70.0,2.5,0,5,0.00,2.0
2013-08-27,89,49,69.0,1.5,0,4,0.00,2.0
2013-08-28,85,56,70.5,3.0,0,6,0.00,2.0
