id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",rank,"text_name","search_name","display_name","sort_name","citation",deprecated,synonym_id,correct_spelling_id,"notes","classification",ok_for_export,"author","lifeform",locked
15236,4,"2009-01-14 06:02:13","2017-10-13 21:51:42",2,NULL,92984,761,"2018-09-05 23:29:31",4,"Coriolopsis gallica","Coriolopsis gallica (Fr.) Ryvarden","__Coriolopsis gallica__ (Fr.) Ryvarden","Coriolopsis gallica  (Fr.) Ryvarden","Norw. Jl Bot. 19: 230 (1973)",1,6026,NULL,"from http://www.mycobank.org/BioloMICS.aspx?Link=T&TableKey=14682616000000063&Rec=44002&Fields=All:

Ryvarden, L.; Gilbertson, R.L. 1993. European polypores. Part 1. 6:1-387
	 
Page number :	219	 

Remarks (public) :	When typically developed this is an easy species to recognize because of its quite thick basidiocarps with a hispid to villose, often grayish pileus. large pores. and a brown pore-surface and context. Trametes trogii may be somewhat similar macroscopically, but has a white to wood coloured pore surface and white tubes and context.	 

Description type :	Non-original description	 

Description :	Coriolopsis gallica (Fr.) Ryv. - Norw. J. Bot. 19:230, 1973 - Polyporus gallicus Fr., Syst. Mycol. 1:345, 1821. -Trametes gallica (Fr.) Fr. Epicr. p.489, 1838.

Basidiocarps annual to biennial, pileate, broadly sessile, up to 10 cm wide, 7 cm broad and 1 cm thick, semicircular or elongated. often comprised of several imbricate pilei from a common. effused resupinate part, corky to tough; pileus surface densely hirsute to hispid, at first brownish, but soon dirty gray. zonate or azonate, more hispid at the base than at the margin, the hirsute tomentum clearly differentiated towards the brown context; pore surface brown to gray, pores angular, thin-walled, 1-3 mm in diam, in larger and older specimens often radially elongated and deeply split; context mostly thin, more rarely up to 10 mm thick, rusty to umber brown, at first black in KOH, then fading back to almost the original colour; tube layer up to 15 mm thick, tubes whitish to gray on the inner walls, trama brown.
Hyphal system trimitic; generative hyphae thin-walled. hyaline, with clamps, 2-4.5 µm in diam; skeletal hyphae thick-walled to solid, golden brown in trama and context, hyaline in the tomentum, 2.5-6 µm in diam; binding hyphae tortuous, thick-walled to almost solid, light golden brown, 2.5-4.5 µm in diam.
Cystidia and other sterile hymenial elements absent.
Basidia clavate, 4-sterigmate, 20-40 x 5.5-8 µm, with a basal clamp.
Basidiospores cylindrical. hyaline, thin-walled, smooth, negative in Melzer\"s reagent, 10-16 x 3-5 µm. sometimes varying considerably even within the same basidiocarp. Type of rot. Causes a white rot of dead hardwoods.
Cultural characteristics. See David 1967; Domanski 1968; Stalpers 1978. Sexuality. Heterothallic and tetrapolar.
Substrata. On dead hardwoods such as Acacia, Acer, Aesculus, Alnus, Fagus, Fraxinus, Juglans, Olea, Pistacia, Platanus, Populus, Quercus, Robinia, Sala and Ulmus, besides many exotic trees in gardens and parks.
Distribution. Southern and Central Europe, north to Vastmanland in Central Sweden. Also known North America, North Africa and Asia.",NULL,1,"(Fr.) Ryvarden"," ",0
15251,3,"2009-01-19 16:25:38","2017-08-31 02:00:48",242,2272,86816,1097,"2018-09-06 22:14:15",16,"Amanita pantherina group","Amanita pantherina group","**__Amanita pantherina__** group","Amanita pantherina   group","",0,6494,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Amanitaceae_",0,""," ",0
15254,11,"2009-01-19 20:23:32","2016-06-02 17:55:23",242,5702,206907,341,"2018-08-28 06:28:45",4,"Amanita pruittii","Amanita pruittii A.H. Sm. ex Tulloss, J. Lindgr. & Arora","**__Amanita pruittii__** A.H. Sm. ex Tulloss, J. Lindgr. & Arora","Amanita pruittii  A.H. Sm. ex Tulloss, J. Lindgr. & Arora","2014 \"??Amanitaceae?? 1(1): 2\":http://www.amanitaceaethejournal.org/content/uploaded/journal/2014/Amanitaceae.2014.1.1.rev1.pdf",0,5839,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Amanitaceae_",0,"A.H. Sm. ex Tulloss, J. Lindgr. & Arora"," ",0
15489,4,"2009-01-24 01:43:41","2018-05-06 20:56:50",5,2480,90303,408,"2018-08-15 08:44:09",2,"Inocybe geophylla var. lilacina","Inocybe geophylla var. lilacina (Peck) Gillet","__Inocybe geophylla__ var. __lilacina__ (Peck) Gillet","Inocybe geophylla  {6var.  lilacina  (Peck) Gillet","",1,3833,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Inocybaceae_",1,"(Peck) Gillet"," ",0
15499,2,"2009-01-26 04:19:33","2009-01-26 18:10:35",2,NULL,NULL,261,"2018-08-17 10:28:14",4,"Mucronella flava","Mucronella flava Corner","**__Mucronella flava__** Corner","Mucronella flava  Corner","Ann. Bot. 17(2): 356. 1953.",0,NULL,NULL,NULL,NULL,1,"Corner"," ",0
15569,5,"2009-01-27 23:07:21","2017-01-22 00:46:52",5,NULL,176398,240,"2018-08-01 17:44:16",4,"Hebeloma cavipes","Hebeloma cavipes Huijsman","**__Hebeloma cavipes__** Huijsman","Hebeloma cavipes  Huijsman","Persoonia 2(1): 97 (1961)",0,6184,NULL,"On this Name Page, _Hebeloma lutense_ is not a synonym of _Hebeloma cavipes, but it is a species on its own right. I don't know, how to remove _H. luetense_ from the synonymy of _H. cavipes_. 
Many MO Name pages are confusing and the Name Pages should be dropped from the MO system. For the MO observation naming, check the correct spelling (follow _Index/Species Fungorum_) and use the name that was in the literature you have used for identification. Cite that literature, so the other users would understand what the name you used really means.
Follow this my advice for the MO observations that are supported by the supporting herbarium specimens.",NULL,1,"Huijsman"," ",0
15835,1,"2009-01-27 23:22:20","2009-01-27 23:22:20",5,NULL,NULL,108,"2018-07-14 16:54:31",4,"Hebeloma theobrominum","Hebeloma theobrominum Quadr.","**__Hebeloma theobrominum__** Quadr.","Hebeloma theobrominum  Quadr.",NULL,0,NULL,NULL,NULL,NULL,1,"Quadr."," ",0
